PRESIDENT 1972
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Alabama,19721107,N/A,AUTAUGA,County,"7,140","5,367","Nixon, Richard M.",Incumbent,"1,593","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,180,"3,774",R,75.17,22.31,.00,2.52,77.11,22.89,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BALDWIN,County,"18,375","15,104","Nixon, Richard M.",Incumbent,"2,923","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,348,"12,181",R,82.20,15.91,.00,1.89,83.79,16.21,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BARBOUR,County,"7,029","4,985","Nixon, Richard M.",Incumbent,"1,846","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,198,"3,139",R,70.92,26.26,.00,2.82,72.98,27.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BIBB,County,"4,248","3,332","Nixon, Richard M.",Incumbent,837,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,79,"2,495",R,78.44,19.70,.00,1.86,79.92,20.08,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BLOUNT,County,"8,173","6,486","Nixon, Richard M.",Incumbent,"1,582","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,105,"4,904",R,79.36,19.36,.00,1.28,80.39,19.61,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BULLOCK,County,"4,591","2,178","Nixon, Richard M.",Incumbent,"2,321","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,92,143,D,47.44,50.56,.00,2.00,48.41,51.59,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,BUTLER,County,"6,128","4,685","Nixon, Richard M.",Incumbent,"1,401","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,42,"3,284",R,76.45,22.86,.00,.69,76.98,23.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,CALHOUN,County,"26,471","20,364","Nixon, Richard M.",Incumbent,"5,832","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,275,"14,532",R,76.93,22.03,.00,1.04,77.74,22.26,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,CHAMBERS,County,"11,003","8,716","Nixon, Richard M.",Incumbent,"2,076","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,211,"6,640",R,79.21,18.87,.00,1.92,80.76,19.24,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Alabama,19721107,N/A,CHEROKEE,County,"4,422","3,179","Nixon, Richard M.",Incumbent,"1,182","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,61,"1,997",R,71.89,26.73,.00,1.38,72.90,27.10,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
