PRESIDENT 2000
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New Jersey,20001107,N/A,ATLANTIC,County,"91,102","35,593","Bush, George W.",Challenger,"52,880","Gore, Albert Jr.",Challenger,Green,"2,188","Nader, Ralph",Challenger,441,"17,287",D,39.07,58.04,2.40,.48,40.23,59.77,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,BERGEN,County,"366,721","152,731","Bush, George W.",Challenger,"202,682","Gore, Albert Jr.",Challenger,Green,"9,688","Nader, Ralph",Challenger,"1,620","49,951",D,41.65,55.27,2.64,.44,42.97,57.03,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,BURLINGTON,County,"177,541","72,254","Bush, George W.",Challenger,"99,506","Gore, Albert Jr.",Challenger,Green,"4,894","Nader, Ralph",Challenger,887,"27,252",D,40.70,56.05,2.76,.50,42.07,57.93,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,CAMDEN,County,"196,861","62,464","Bush, George W.",Challenger,"127,166","Gore, Albert Jr.",Challenger,Green,"6,124","Nader, Ralph",Challenger,"1,107","64,702",D,31.73,64.60,3.11,.56,32.94,67.06,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,CAPE MAY,County,"47,594","23,794","Bush, George W.",Challenger,"22,189","Gore, Albert Jr.",Challenger,Green,"1,291","Nader, Ralph",Challenger,320,"1,605",R,49.99,46.62,2.71,.67,51.75,48.25,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,CUMBERLAND,County,"48,684","18,882","Bush, George W.",Challenger,"28,188","Gore, Albert Jr.",Challenger,Green,"1,004","Nader, Ralph",Challenger,610,"9,306",D,38.78,57.90,2.06,1.25,40.11,59.89,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,ESSEX,County,"259,573","66,842","Bush, George W.",Challenger,"185,505","Gore, Albert Jr.",Challenger,Green,"5,641","Nader, Ralph",Challenger,"1,585","118,663",D,25.75,71.47,2.17,.61,26.49,73.51,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,GLOUCESTER,County,"107,298","42,315","Bush, George W.",Challenger,"61,095","Gore, Albert Jr.",Challenger,Green,"3,196","Nader, Ralph",Challenger,692,"18,780",D,39.44,56.94,2.98,.64,40.92,59.08,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,HUDSON,County,"167,361","43,804","Bush, George W.",Challenger,"118,206","Gore, Albert Jr.",Challenger,Green,"4,436","Nader, Ralph",Challenger,915,"74,402",D,26.17,70.63,2.65,.55,27.04,72.96,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,New Jersey,20001107,N/A,HUNTERDON,County,"56,455","32,210","Bush, George W.",Challenger,"21,387","Gore, Albert Jr.",Challenger,Green,"2,459","Nader, Ralph",Challenger,399,"10,823",R,57.05,37.88,4.36,.71,60.10,39.90,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
